"","Score","Scorer","Time","Session","Sex","Age","PersBase","PersCut","PersSut","CutFinal","SuturFinal"
"1",13,1,"20:00",1,"Male",22,0.00665744490104166,0.0066414655261887,0.0070718845284046,-1.59793748529605e-05,0.000414439627362946
"2",15,1,"20:00",1,"Male",23,0.0135702449326218,0.00764856297268488,0.00793605442331004,-0.00592168195993696,-0.0056341905093118
"3",18,1,"20:00",1,"Male",23,0.00704019340307122,0.00525226500854657,0.00553802260093174,-0.00178792839452465,-0.00150217080213948
"4",12,1,"20:00",1,"Male",23,0.00686174060867958,0.00701775239456986,0.00785235768864998,0.000156011785890285,0.000990617079970401
"5",22,1,"20:00",1,"Male",25,0.00763951424887054,0.00594359108523681,0.00755328779180717,-0.00169592316363374,-8.62264570633698e-05
"6",9,1,"20:00",1,"Male",22,0.0056551159201541,NA,NA,NA,NA
"7",10,1,"20:00",1,"Male",24,0.00762653706074221,0.00662001929649238,0.0072384013255072,-0.00100651776424983,-0.000388135735235016
"8",14,1,"20:00",1,"Male",22,0.00755480758545151,0.00618257953556912,0.00699007877257236,-0.00137222804988239,-0.00056472881287915
"9",11,1,"20:00",1,"Male",23,0.00764725718358287,0.00774674326485079,0.00829500454192847,9.94860812679179e-05,0.000647747358345596
"10",13,1,"20:00",1,"Male",22,0.00617718260624288,0.00651419371417684,0.00655793977520076,0.000337011107933965,0.000380757168957882
"11",12,1,"20:00",1,"Female",23,NA,NA,NA,NA,NA
"12",13,1,"20:00",1,"Female",22,0.00618751978733782,0.00695786592138606,0.0071207222058969,0.000770346134048241,0.000933202418559084
"13",16,1,"20:00",1,"Female",26,0.00762183358702741,0.00935195897706789,0.011385123200983,0.00173012539004048,0.00376328961395559
"14",21,1,"19:15",1,"Female",25,0.00880881700743211,0.00626720911690291,0.00626996027125724,-0.00254160789052921,-0.00253885673617487
"15",15,1,"20:00",1,"Female",22,0.0070293657315276,0.00639046047002422,0.0066623533756883,-0.000638905261503378,-0.000367012355839296
"16",15,2,"20:00",1,"Male",22,0.00665744490104166,0.0066414655261887,0.0070718845284046,-1.59793748529605e-05,0.000414439627362946
"17",17,2,"20:00",1,"Male",23,0.0135702449326218,0.00764856297268488,0.00793605442331004,-0.00592168195993696,-0.0056341905093118
"18",17,2,"20:00",1,"Male",23,0.00704019340307122,0.00525226500854657,0.00553802260093174,-0.00178792839452465,-0.00150217080213948
"19",11,2,"20:00",1,"Male",23,0.00686174060867958,0.00701775239456986,0.00785235768864998,0.000156011785890285,0.000990617079970401
"20",23,2,"20:00",1,"Male",25,0.00763951424887054,0.00594359108523681,0.00755328779180717,-0.00169592316363374,-8.62264570633698e-05
"21",10,2,"20:00",1,"Male",22,0.0056551159201541,NA,NA,NA,NA
"22",13,2,"20:00",1,"Male",24,0.00762653706074221,0.00662001929649238,0.0072384013255072,-0.00100651776424983,-0.000388135735235016
"23",17,2,"20:00",1,"Male",22,0.00755480758545151,0.00618257953556912,0.00699007877257236,-0.00137222804988239,-0.00056472881287915
"24",10,2,"20:00",1,"Male",23,0.00764725718358287,0.00774674326485079,0.00829500454192847,9.94860812679179e-05,0.000647747358345596
"25",15,2,"20:00",1,"Male",22,0.00617718260624288,0.00651419371417684,0.00655793977520076,0.000337011107933965,0.000380757168957882
"26",16,2,"20:00",1,"Female",23,NA,NA,NA,NA,NA
"27",17,2,"20:00",1,"Female",22,0.00618751978733782,0.00695786592138606,0.0071207222058969,0.000770346134048241,0.000933202418559084
"28",12,2,"20:00",1,"Female",26,0.00762183358702741,0.00935195897706789,0.011385123200983,0.00173012539004048,0.00376328961395559
"29",20,2,"19:15",1,"Female",25,0.00880881700743211,0.00626720911690291,0.00626996027125724,-0.00254160789052921,-0.00253885673617487
"30",15,2,"20:00",1,"Female",22,0.0070293657315276,0.00639046047002422,0.0066623533756883,-0.000638905261503378,-0.000367012355839296
"31",15,1,"20:00",2,"Male",22,0.00865211812952418,0.00979928551253378,0.0095106585375058,0.00114716738300959,0.000858540407981617
"32",16,1,"20:00",2,"Male",23,0.0126022660033297,0.00654650009943282,0.00776206334471474,-0.00605576590389683,-0.00484020265861492
"33",20,1,"20:00",2,"Male",23,0.00611895778022799,0.00943919293332482,NA,0.00332023515309683,NA
"34",18,1,"20:00",2,"Male",23,0.0061942555633028,0.00680965808270975,0.00625377629701794,0.000615402519406952,5.95207337151403e-05
"35",25,1,"16:25",2,"Male",25,0.00468026442953054,0.00524821706992524,0.00467578526477115,0.000567952640394697,-4.47916475939357e-06
"36",21,1,"20:00",2,"Male",22,0.00855711678087074,0.00604693008514389,0.00645820770214893,-0.00251018669572685,-0.00209890907872181
"37",12,1,"20:00",2,"Male",24,0.00668965572082166,NA,0.00745162600322614,NA,0.000761970282404482
"38",17,1,"20:00",2,"Male",22,0.00802784441788201,0.00617384053765929,0.00666941229216748,-0.00185400388022271,-0.00135843212571452
"39",15,1,"20:00",2,"Male",23,0.00626830778965419,0.00753167476076492,0.0068495099442372,0.00126336697111072,0.000581202154583005
"40",16,1,"20:00",2,"Male",22,0.00609906837794052,0.00574180914891238,0.00632729416649859,-0.000357259229028135,0.000228225788558077
"41",22,1,"17:50",2,"Female",23,0.00696477520775611,0.00767348925744736,0.0063507641866729,0.000708714049691245,-0.000614011021083215
"42",17,1,"20:00",2,"Female",22,0.00950609028924422,0.00928989452949413,0.00834706395186241,-0.000216195759750088,-0.00115902633738181
"43",23,1,"19:55",2,"Female",26,0.00656997883197558,0.0087667711420479,0.00951032747860542,0.00219679231007232,0.00294034864662983
